show,showLen,showStops,showSegues,showEncore,showBereakout,showSets,showSetsAcustic,showSetsElectric,set1Len,set1Stops,set1Segues,set1Breakouts,set2Len,set3Stops,set2Segues,set2Breakouts,set3Len,set3Stops,set3Segues,set3Breakouts,showType,linup,guests
1193,18,12,6,1,111,2,0,0,9,8,1,39,9,4,5,72,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1192,19,12,7,1,57,2,0,0,9,9,0,22,10,3,7,35,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1195,18,10,8,1,51,2,0,0,9,6,3,28,9,4,5,23,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1194,21,14,7,1,120,2,0,0,10,9,1,23,11,5,6,97,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1197,18,12,6,1,44,2,0,0,8,8,0,33,10,4,6,11,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey, Ken Babbs,
1196,22,11,11,2,204,2,0,0,9,7,2,18,13,4,9,186,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1759,18,8,10,1,118,2,0,0,7,6,1,49,11,2,9,69,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1758,18,11,7,1,158,2,0,0,9,7,2,97,9,4,5,61,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1757,19,9,10,1,136,2,0,0,9,6,3,65,10,3,7,71,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1756,16,6,10,1,105,2,0,0,7,4,3,38,9,2,7,67,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1755,18,10,8,1,873,2,0,0,9,8,1,849,9,2,7,24,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1754,21,5,16,1,67,2,0,0,10,3,7,34,11,2,9,33,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1753,18,7,11,1,168,2,0,0,8,5,3,81,10,2,8,87,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1752,16,8,8,1,99,2,0,0,6,4,2,28,10,4,6,71,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Charles Neville (Saxophone)  Art Neville (Keyboards)  Brian Stoltz (Guitar)  Daryl Johnson (Bass)  Cyril Neville (Drums)  William Green (Drums) Neville Brothers,
1751,20,6,14,3,958,2,0,0,9,5,4,67,11,1,10,891,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, William Green (Drums)  Cyril Neville (Percussion)  Brian Stoltz (Percussion)  Art Neville (Tambourine)  Daryl Johnson (Shakers) Art Neville (Keyboards)  Brian Stoltz (Guitar)  Daryl Johnson (Bass),
1750,17,8,9,1,106,2,0,0,6,5,1,44,11,3,8,62,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1177,21,13,8,1,61,2,0,0,11,9,2,34,10,4,6,27,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1176,20,12,8,1,76,2,0,0,10,8,2,26,10,4,6,50,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1175,19,15,4,1,59,2,0,0,11,11,0,32,8,4,4,27,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1174,19,12,7,1,66,2,0,0,10,8,2,33,9,4,5,33,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1173,20,14,6,1,65,2,0,0,10,9,1,40,10,5,5,25,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1172,19,11,8,1,46,2,0,0,10,7,3,29,9,4,5,17,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1171,19,12,7,1,54,2,0,0,10,8,2,25,9,4,5,29,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1170,18,12,6,1,90,2,0,0,9,8,1,35,9,4,5,55,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1179,17,11,6,1,117,2,0,0,7,7,0,34,10,4,6,83,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1178,18,12,6,1,48,2,0,0,9,8,1,24,9,4,5,24,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
511,18,9,9,0,107,2,0,0,8,5,3,86,10,4,6,21,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
510,12,6,6,0,35,2,0,0,8,5,3,11,4,1,3,24,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
513,12,7,5,0,27,1,0,0,12,7,5,27,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
1285,20,11,9,1,47,2,0,0,9,6,3,18,11,5,6,29,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1284,18,11,7,1,63,2,0,0,8,6,2,29,10,5,5,34,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1287,18,7,11,1,121,2,0,0,8,5,3,51,10,2,8,70,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1286,21,14,7,1,68,2,0,0,11,10,1,38,10,4,6,30,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1281,20,12,8,1,33,2,0,0,10,8,2,17,10,4,6,16,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1280,22,14,8,1,88,2,0,0,10,9,1,44,12,5,7,44,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1283,21,11,10,1,168,2,0,0,11,8,3,36,10,3,7,132,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1282,20,14,6,1,58,2,0,0,9,9,0,24,11,5,6,34,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1003,17,12,5,1,32,2,0,0,12,10,2,22,5,2,3,10,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Bill,,
1289,21,12,9,1,67,2,0,0,9,8,1,39,12,4,8,28,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1288,22,11,11,1,65,2,0,0,10,7,3,23,12,4,8,42,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
514,10,6,4,2,34,1,0,0,10,6,4,34,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
1579,20,9,11,2,62,2,0,0,9,7,2,28,11,2,9,34,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1578,19,11,8,1,100,2,0,0,9,8,1,34,10,3,7,66,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
689,13,10,3,0,31,1,0,0,13,10,3,31,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey, Gary Duncan  Dino Valenti,
688,4,1,3,0,3,1,0,0,4,1,3,3,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
1573,18,8,10,1,119,2,0,0,6,5,1,29,12,3,9,90,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1572,23,12,11,1,141,2,0,0,11,9,2,83,12,3,9,58,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1571,21,13,8,1,77,2,0,0,9,9,0,36,12,4,8,41,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1570,21,9,12,2,57,2,0,0,8,5,3,24,13,4,9,33,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1577,20,10,10,1,87,2,0,0,8,7,1,34,12,3,9,53,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1576,20,8,12,1,117,2,0,0,10,6,4,78,10,2,8,39,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1575,21,12,9,1,103,2,0,0,9,7,2,46,12,5,7,57,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1574,22,9,13,1,120,2,0,0,10,7,3,55,12,2,10,65,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
623,18,7,11,0,24,2,0,0,11,6,5,13,7,1,6,11,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
622,14,11,3,0,20,1,0,0,14,11,3,20,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
1240,23,15,8,1,70,2,0,0,12,11,1,45,11,4,7,25,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
621,16,9,7,0,29,1,0,0,16,9,7,29,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
620,25,14,11,0,120,2,0,0,10,7,3,14,15,7,8,106,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
627,16,11,5,0,49,1,0,0,16,11,5,49,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey, Peter Green,
626,18,16,2,0,183,3,0,0,8,8,0,23,5,5,0,124,5,3,2,36,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
1221,20,10,10,0,89,2,0,0,11,8,3,54,9,2,7,35,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1243,23,13,10,0,143,2,0,0,12,10,2,80,11,3,8,63,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1220,20,12,8,1,94,2,0,0,10,9,1,44,10,3,7,50,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
